MIN,2
MIA,2
CAR,2
ATL,2
DET,5
CIN,3
NYJ,4
DEN,0
BAL,5
NYG,7
OAK,4
TEN,3
NO,8
DAL,1
NE,3
SEA,3
CLE,4
BUF,2
STL,2
CHI,1
TB,4
HOU,1
GB,2
WAS,1
JAC,3
KC,2
PHI,3
PIT,6
IND,4
ARI,4
SF,5
SD,4
M.Stafford,2
A.Smith,1
A.Dalton,4
T.Romo,1
M.Cassel,0
M.McGloin,0
B.Hoyer,1
D.Orlovsky,0
M.Sanchez,0
J.Manziel,1
C.Whitehurst,0
E.Manuel,0
L.Jones,0
M.Schaub,1
Z.Mettenberger,0
D.Amendola,0
A.Rodgers,3
R.Mallett,0
M.Hasselbeck,1
J.Cutler,2
G.Smith,0
A.McCarron,0
C.Hogan,0
S.Mannion,0
A.Luck,2
M.Moore,0
C.Palmer,9
R.Wilson,1
R.Tannehill,3
P.Manning,2
J.Clausen,0
T.Yates,0
M.Ryan,3
T.Taylor,0
J.Hekker,0
M.Mariota,2
R.Fitzpatrick,1
J.McCown,3
J.Crowder,0
T.Brady,7
B.Weeden,0
C.Daniel,0
J.Winston,0
C.Newton,2
S.Bradford,2
C.Shorts III,0
D.Stanton,0
D.Carr,6
C.Keenum,0
E.Manning,4
D.McFadden,0
K.Cousins,4
T.Bridgewater,2
J.Flacco,5
N.Foles,0
S.Koch,0
L.McCown,1
C.Kaepernick,2
B.Osweiler,0
A.Davis,0
B.Bortles,5
T.Jackson,0
J.Landry,0
B.Roethlisberger,6
M.Vick,0
B.Walters,0
S.Hill,0
K.Clemens,0
D.Brees,6
B.Gabbert,1
P.Rivers,6
